"ID","Gender"
"_Abraham_García_","hombre"
"_Adolfo_Fernández_","hombre"
"_Alberto_Fernández_","hombre"
"_Alberto_Ferreiro_","hombre"
"_Alejandro_Tous_","hombre"
"_Alejo_Sauras_","hombre"
"_Álex_Angulo_","hombre"
"_Àlex_Casanovas_","hombre"
"_Alfonso_Vallejo_","hombre"
"_Alito_Rodgers_","hombre"
"_Ambite_","hombre"
"_Andrey_Berezin_","hombre"
"_Ángel_Alcázar_","hombre"
"_Ángel_de_Andrés_López_","hombre"
"_Ángel_Infantes_","hombre"
"_Ángel_Sánchez_Harguindey_","hombre"
"_Antonio_Banderas_","hombre"
"_Antonio_de_la_Torre_","hombre"
"_Antonio_Henares_","hombre"
"_Antonio_Passy_","hombre"
"_Asier_Etxeandia_","hombre"
"_Asier_Flores_","hombre"
"_Ben_Lindbergh_","hombre"
"_Beni_","hombre"
"_Benoit_Causse_","hombre"
"_Caetano_Veloso_","hombre"
"_Carlitos_","hombre"
"_Carlos_Areces_","hombre"
"_Carlos_Blanco_","hombre"
"_Carlos_García_Berlanga_","hombre"
"_Carlos_García_Cambero_","hombre"
"_Carlos_Lapuente_","hombre"
"_Carlos_Leal_","hombre"
"_Carlos_Lozano_","hombre"
"_Carlos_Miguel_","hombre"
"_Carlos_Sampedro_","hombre"
"_Carlos_Tristancho_","hombre"
"_Carlos_Villafranca_","hombre"
"_Ceesepe_","hombre"
"_César_Vicente_","hombre"
"_Charlie_Centa_","hombre"
"_Charly_Bravo_","hombre"
"_Chema_Gil_","hombre"
"_Chimezie_Eke_","hombre"
"_Chus_Lampreave_","mujer"
"_Costus_","hombre"
"_Coté_Soler_","hombre"
"_Dani_Martín_","hombre"
"_Daniel_Cebrián_","hombre"
"_Daniel_Giménez_Cacho_","hombre"
"_Daniel_Grao_","hombre"
"_Daniel_Lanchas_","hombre"
"_Daniel_Wilder_","hombre"
"_Darío_Grandinetti_","hombre"
"_David_Claudio_","hombre"
"_David_Delfín_","hombre"
"_Diego_Álvarez_","hombre"
"_Diego_Caretti_","hombre"
"_Diego_de_Paz_","hombre"
"_Dominique_Mercy_","hombre"
"_Eduard_Fernández_","hombre"
"_Eduardo_Calvo_","hombre"
"_El_Churri_","hombre"
"_El_Martillo_De_Lucifer_","hombre"
"_Eloy_Azorín_","hombre"
"_Emiliano_Redondo_","hombre"
"_Emilio_Gutiérrez_Caba_","hombre"
"_Eneko_Galende_","hombre"
"_Enrique_Aparicio_","hombre"
"_Enrique_Naya_","hombre"
"_Enrique_Vargas_","hombre"
"_Esteban_Aspiazu_","hombre"
"_Eusebio_Lázaro_","hombre"
"_Eusebio_Poncela_","hombre"
"_Fabien_Prioville_","hombre"
"_Fabio_McNamara_","hombre"
"_Federico_García_Cambero_","hombre"
"_Fele_Martínez_","hombre"
"_Félix_Rotaeta_","hombre"
"_Féodor_Atkine_","hombre"
"_Fernando_Cayo_","hombre"
"_Fernando_Fernán_Gómez_","hombre"
"_Fernando_Guillén_","hombre"
"_Fernando_Guillén_Cuervo_","hombre"
"_Fernando_Hilbeck_","hombre"
"_Fernando_Iglesias_","hombre"
"_Fernando_Lueches_","hombre"
"_Fernando_Prados_","hombre"
"_Fernando_Suels_","hombre"
"_Fernando_Vivanco_","hombre"
"_Fito_Páez_","hombre"
"_Francisco_Boira_","hombre"
"_Francisco_Maestre_","hombre"
"_Francisco_Rabal_","hombre"
"_Gabriel_Garbisu_","hombre"
"_Gabriel_Latorre_","hombre"
"_Gael_García_Bernal_","hombre"
"_Germán_Cobos_","hombre"
"_Gio_Fonseca_","hombre"
"_Gonzalo_Suárez_","hombre"
"_Gregorio_Ros_","hombre"
"_Guillermo_Carbajo_","hombre"
"_Guillermo_Montesinos_","hombre"
"_Guillermo_Pérez_Villalta_","hombre"
"_Guillermo_Toledo_","hombre"
"_Hector_Saurint_","hombre"
"_Helio_Pedregal_","hombre"
"_Hilario_Pino_","hombre"
"_Hugo_Silva_","hombre"
"_Imanol_Arias_","hombre"
"_Imanol_Uribe_","hombre"
"_Isaac_Monllor_","hombre"
"_Ismael_Martínez_","hombre"
"_Iván_","hombre"
"_Iván_González_Lewis_","hombre"
"_Iván_Villafranca_","hombre"
"_Jaime_Chávarri_","hombre"
"_Jaime_Fernández-Cid_Buscató_","hombre"
"_James_Contrares_","hombre"
"_Jan_Cornet_","hombre"
"_Javi_Coll_","hombre"
"_Javier_Bardem_","hombre"
"_Javier_Benavente_","hombre"
"_Javier_Cámara_","hombre"
"_Javier_Cidoncha_","hombre"
"_Javier_Conde_","hombre"
"_Javier_Giner_","hombre"
"_Javier_Gurruchaga_","hombre"
"_Javier_Pérez_Grueso_","hombre"
"_Javier_Ulacia_","hombre"
"_Jean-Laurent_Sasportes_","hombre"
"_Jesús_Bonilla_","hombre"
"_Jesús_Cracio_","hombre"
"_Jesús_Ruyman_","hombre"
"_Joaquín_Abad_","hombre"
"_Joaquín_Climent_","hombre"
"_Joaquín_Cortés_","hombre"
"_Joaquín_Notario_","hombre"
"_Jons_Pappila_","hombre"
"_Jordi_Mollà_","hombre"
"_Jorge_Pobes_","hombre"
"_Jorge_Puerta_","hombre"
"_José_Antonio_Navarro_","hombre"
"_José_Carlos_Quirós_","hombre"
"_José_Luis_Aguirre_","hombre"
"_José_Luis_Gómez_","hombre"
"_José_Luis_Torrijo_","hombre"
"_José_Manuel_Bello_","hombre"
"_José_Marco_","hombre"
"_José_María_Sacristán_","hombre"
"_José_María_Tasso_","hombre"
"_José_María_Yazpik_","hombre"
"_José_Moratalla_","hombre"
"_José_Palau_","hombre"
"_José_Ramón_Fernández_","hombre"
"_José_Ramón_Pardo_","hombre"
"_José_Sancho_","hombre"
"_Josele_Román_","hombre"
"_Josep_Molins_","hombre"
"_Joserra_Cadiñanos_","hombre"
"_Juan_A._Granja_","hombre"
"_Juan_Bautista_Cucarella_","hombre"
"_Juan_Carlos_Martínez_Antuña_","hombre"
"_Juan_Carrero_","hombre"
"_Juan_Echanove_","hombre"
"_Juan_Fernández_","hombre"
"_Juan_José_Otegui_","hombre"
"_Juan_Lombardero_","hombre"
"_Juan_Márquez_","hombre"
"_Juan_Martínez_","hombre"
"_Juan_Sánchez_","hombre"
"_Julián_López_","hombre"
"_Julián_Sánchez_","hombre"
"_Julie_Shanahan_","hombre"
"_Karra_Elejalde_","hombre"
"_Kike_Turmix_","hombre"
"_Leandro_Rivera_","hombre"
"_Leonardo_Sbaraglia_","hombre"
"_Liberto_Rabal_","hombre"
"_Lluís_Homar_","hombre"
"_Lluís_Pasqual_","hombre"
"_Los_Angeles_Barea_","hombre"
"_Luciano_Berriatúa_","hombre"
"_Luigi_Martin_","hombre"
"_Luis_Calero_","hombre"
"_Luis_Ciges_","hombre"
"_Luis_Hostalot_","hombre"
"_Luis_Iglesia_","hombre"
"_Luis_Lattanzi_","hombre"
"_Luis_Lobos_Negros_","hombre"
"_Manolo_Campoamor_","hombre"
"_Manuel_Bandera_","hombre"
"_Manuel_Cano_","hombre"
"_Manuel_Morón_","hombre"
"_Manuel_Zarzo_","hombre"
"_Marcelo_García_Flores_","hombre"
"_Matías_Prats_","hombre"
"_Michael_Strecker_","hombre"
"_Michel_Ruben_","hombre"
"_Miguel_Almodóvar_","hombre"
"_Miguel_Ángel_Bolo_","hombre"
"_Miguel_Ángel_Herranz_","hombre"
"_Miguel_Ángel_Requejo_","hombre"
"_Miguel_Ángel_Silvestre_","hombre"
"_Miguel_Bosé_","hombre"
"_Miguel_García_","hombre"
"_Miguel_Molina_","hombre"
"_Miguel_Rivera_","hombre"
"_Miguel_Zúñiga_","hombre"
"_Milton_Díaz_","hombre"
"_Nacho_Martínez_","hombre"
"_Nacho_Pérez_","hombre"
"_Nadal_Bin_","hombre"
"_Nancho_Novo_","hombre"
"_Nasser_Saleh_","hombre"
"_Oscar_Rus_","hombre"
"_Oswaldo_Delgado_","hombre"
"_Pablo_Pérez_Mínguez_","hombre"
"_Paco_Pérez_Bryan_","hombre"
"_Paco_Virseda_","hombre"
"_Patxi_Freytez_","hombre"
"_Pau_Poch_","hombre"
"_Pedro_Almodóvar_","hombre"
"_Pedro_Casablanc_","hombre"
"_Pedro_Díez_del_Corral_","hombre"
"_Pedro_Losada_","hombre"
"_Pedro_Miralles_","hombre"
"_Pepe_Maya_","hombre"
"_Pepe_Patatín_","hombre"
"_Placido_Guimaraes_","hombre"
"_Poch_","hombre"
"_Pol_Monen_","hombre"
"_Ramón_Agirre_","hombre"
"_Ramón_Ibarra_","hombre"
"_Ramón_Pons_","hombre"
"_Raúl_Arévalo_","hombre"
"_Raúl_García_Forneiro_","hombre"
"_Raúl_Montes_","hombre"
"_Rayco_Cano_","hombre"
"_Ricardo_Franco_","hombre"
"_Robert_Forcadell_","hombre"
"_Roberto_Álamo_","hombre"
"_Roberto_Álvarez_","hombre"
"_Roberto_Hoyas_","hombre"
"_Rodolfo_Montero_","hombre"
"_Rubén_Ochandiano_","hombre"
"_Rubén_Olivera_","hombre"
"_Rubén_Tobías_","hombre"
"_Santiago_Auserón_","hombre"
"_Santiago_Lajusticia_","hombre"
"_Santiago_Segura_","hombre"
"_Sergio_Díaz_","hombre"
"_Stephen_Brinkmann_","hombre"
"_Strello_","hombre"
"_Tamaki_","hombre"
"_Tamar_Novas_","hombre"
"_Tomás_Corrales_","hombre"
"_Tomás_del_Estal_","hombre"
"_Tomás_Virseda_","hombre"
"_Toni_Cantó_","hombre"
"_Toni_Novella_","hombre"
"_Topacio_Fresh_","hombre"
"_Tote_Trenas_","hombre"
"_Vicente_Palomo_","hombre"
"_Víctor_Coyote_","hombre"
"_Víctor_Matos_","hombre"
"_Victoria_Abril_","mujer"
"_Virgil-Henry_Mathet_","hombre"
"_Will_More_","hombre"
"_Xavi_Sáez_","hombre"
"_Yael_Barnatán_","hombre"
"_Yael_Be_","hombre"
"_Adela_Donamaría_","mujer"
"_Adriana_Ugarte_","mujer"
"_Aida_Vainieri_","mujer"
"_Alaska_","mujer"
"_Alba_García_","mujer"
"_Alba_Gómez_","mujer"
"_Alexia_Pardo_","mujer"
"_Alicia_Agut_","mujer"
"_Alicia_Altabella_","mujer"
"_Alicia_González_","mujer"
"_Alicia_Mora_","mujer"
"_Aline_Casagrande_","mujer"
"_Almudena_Martínez_de_la_Riva_","mujer"
"_Amparo_Soler_Leal_","mujer"
"_Ana_Fernández_","mujer"
"_Ana_García_","mujer"
"_Ana_Leza_","mujer"
"_Ana_Mena_","mujer"
"_Ana_Sanz_","mujer"
"_Ana_Trigo_","mujer"
"_Ana_Wagener_","mujer"
"_Anabel_Alonso_","mujer"
"_Ángela_Fifa_","mujer"
"_Ángela_Molina_","mujer"
"_Angelina_Llongueras_","mujer"
"_Angie_Gray_","mujer"
"_Anna_Lizaran_","mujer"
"_Anne_Baxter_","mujer"
"_Antonia_San_Juan_","mujer"
"_Ariadna_Martín_","mujer"
"_Assumpta_Serna_","mujer"
"_Azahara_Moyano_","mujer"
"_Azusa_Seyama_","mujer"
"_Barbara_Hampel_","mujer"
"_Bárbara_Lennie_","mujer"
"_Bárbara_Santa-Cruz_","mujer"
"_Beatriz_Santiago_","mujer"
"_Berta_Riaza_","mujer"
"_Bette_Davis_","mujer"
"_Bibiana_Fernández_","mujer"
"_Bimba_Bosé_","mujer"
"_Bina_Daigeler_","mujer"
"_Blanca_Li_","mujer"
"_Blanca_Parés_","mujer"
"_Blanca_Portillo_","mujer"
"_Blanca_Sánchez_","mujer"
"_Blanca_Suárez_","mujer"
"_Buika_","mujer"
"_Candela_Peña_","mujer"
"_Carme_Elias_","mujer"
"_Carme_Fortuny_","mujer"
"_Carmen_Balagué_","mujer"
"_Carmen_Espada_","mujer"
"_Carmen_Giralt_","mujer"
"_Carmen_Luján_","mujer"
"_Carmen_Machi_","mujer"
"_Carmen_Maura_","mujer"
"_Carmen_Navarro_","mujer"
"_Carmen_Santonja_","mujer"
"_Casimira_Encinas_","mujer"
"_Catalina_Arteaga_","mujer"
"_Cayetana_Guillén_Cuervo_","mujer"
"_Cecilia_Rivera_","mujer"
"_Cecilia_Roth_","mujer"
"_Celeste_Holm_","mujer"
"_Charo_López_","mujer"
"_Charo_López_","mujer"
"_Chavela_Vargas_","mujer"
"_Chema_Ruiz_","mujer"
"_Claudia_Aros_","mujer"
"_Concha_Galán_","mujer"
"_Concha_Grégori_","mujer"
"_Concha_Hidalgo_","mujer"
"_Concha_Rabal_","mujer"
"_Constancia_Céspedes_","mujer"
"_Cristiana_Morganti_","mujer"
"_Cristina_Marcos_","mujer"
"_Cristina_Sánchez_Pascual_","mujer"
"_Cuco_Usín_","mujer"
"_Daphnis_Kokkinos_","mujer"
"_Ditta_Jasjfi_","mujer"
"_Dolors_Pozzan_","mujer"
"_Elena_Anaya_","mujer"
"_Elena_Benarroch_","mujer"
"_Eli_Iranzo_","mujer"
"_Elia_Camino_","mujer"
"_Elvira_Cuadrupani_","mujer"
"_Emma_Suárez_","mujer"
"_Esperanza_Guardado_","mujer"
"_Esther_García_","mujer"
"_Eva_Carrero_","mujer"
"_Eva_Cobo_","mujer"
"_Eva_González_","mujer"
"_Eva_Martín_","mujer"
"_Eva_Siva_","mujer"
"_Fanny_de_Castro_","mujer"
"_Flavia_Zarzo_","mujer"
"_Francesca_Neri_","mujer"
"_Francesca_Prandi_","mujer"
"_Francisca_Caballero_","mujer"
"_Francisca_Pajuelo_","mujer"
"_Geraldine_Chaplin_","mujer"
"_Gloria_Muñoz_","mujer"
"_Helena_Ramos_","mujer"
"_Helga_Liné_","mujer"
"_Inma_Cuesta_","mujer"
"_Inma_Subirà_","mujer"
"_Isabel_Ayúcar_","mujer"
"_Isabel_Mestres_","mujer"
"_Juana_Cordero_","mujer"
"_Julieta_Serrano_","mujer"
"_Karola_Sánchez_","mujer"
"_Katia_Loritz_","mujer"
"_Kika_","mujer"
"_Kira_Miró_","mujer"
"_Kiti_Mánver_","mujer"
"_Laly_Salas_","mujer"
"_Lara_Hernandorena_","mujer"
"_Laura_Bayonas_","mujer"
"_Laura_Cepeda_","mujer"
"_Laya_Martí_","mujer"
"_Leonor_Watling_","mujer"
"_Liliana_Niespial_","mujer"
"_Lina_Canalejas_","mujer"
"_Lina_Mira_","mujer"
"_Lola_Cardona_","mujer"
"_Lola_Dueñas_","mujer"
"_Lola_García_","mujer"
"_Lola_Lueches_","mujer"
"_Lola_Mateo_","mujer"
"_Lola_Peno_","mujer"
"_Loles_León_","mujer"
"_Lucía_Barbadillo_","mujer"
"_Luisa_Gavasa_","mujer"
"_Lupe_Barrado_","mujer"
"_Lupe_Cartie_","mujer"
"_Lyng_Dyrup_","mujer"
"_Magdalena_Brotto_","mujer"
"_Malena_Gracia_","mujer"
"_Malena_Gutiérrez_","mujer"
"_Malou_Airaudo_","mujer"
"_Mamen_Segovia_","mujer"
"_Manuela_Vargas_","mujer"
"_Manuela_Velasco_","mujer"
"_Marcela_Amaya_","mujer"
"_Mari_Carmen_Sánchez_","mujer"
"_Mari_Franç_Torres_","mujer"
"_María_Alfonsa_Rosso_","mujer"
"_María_Barranco_","mujer"
"_María_del_Carmen_Castro_","mujer"
"_María_del_Carmen_Rives_","mujer"
"_María_Dolores_Ibáñez_","mujer"
"_María_Elena_Flores_","mujer"
"_María_Isabel_Díaz_Lago_","mujer"
"_María_Mera_","mujer"
"_María_Morales_","mujer"
"_María_Pau_Domínguez_","mujer"
"_María_Rosenfeldt_","mujer"
"_Mariam_Bachir_","mujer"
"_Mariela_Serrano_","mujer"
"_Marilyn_Monroe_","mujer"
"_Marina_Jiménez_","mujer"
"_Mariola_Fuentes_","mujer"
"_Marisa_Paredes_","mujer"
"_Marisa_Tejada_","mujer"
"_Marisol_Muriel_","mujer"
"_Marta_Aledo_","mujer"
"_Marta_Fernández_Muro_","mujer"
"_Marta_R._Mahou_","mujer"
"_Martirio_","mujer"
"_Maruchi_León_","mujer"
"_Mary_Carrillo_","mujer"
"_Mary_González_","mujer"
"_Mayrata_O'Wisiedo_","mujer"
"_Melanie_Maurin_","mujer"
"_Mercedes_Jiménez_","mujer"
"_Mercedes_Juste_","mujer"
"_Michelle_Jenner_","mujer"
"_Mila_Espiga_","mujer"
"_Mina_","mujer"
"_Miriam_Díaz-Aroca_","mujer"
"_Mónica_Bardem_","mujer"
"_Monti_Castiñeiras_","mujer"
"_Montse_G._Romeu_","mujer"
"_Natalia_Roig_","mujer"
"_Natalia_Rook_","mujer"
"_Natalie_Wood_","mujer"
"_Nathalie_Poza_","mujer"
"_Nazareth_Panadero_","mujer"
"_Neus_Alborch_","mujer"
"_Neus_Sanz_","mujer"
"_Nora_Navas_","mujer"
"_Ofelia_Angélica_","mujer"
"_Ouka_Leele_","mujer"
"_Paloma_Hurtado_","mujer"
"_Paola_Dominguín_","mujer"
"_Paqui_Horcajo_","mujer"
"_Paquita_Fernández_","mujer"
"_Pastas_Ardilla_","mujer"
"_Pastora_Delgado_","mujer"
"_Patricia_Arévalo_","mujer"
"_Paula_Soldevila_","mujer"
"_Paulina_Restrepo_","mujer"
"_Paz_Sufrategui_","mujer"
"_Paz_Vega_","mujer"
"_Penélope_Cruz_","mujer"
"_Pepa_Aniorte_","mujer"
"_Pepa_Charro_","mujer"
"_Pepa_Merino_","mujer"
"_Petra_Martínez_","mujer"
"_Pilar_Bardem_","mujer"
"_Pilar_Castro_","mujer"
"_Pilar_Ortega_","mujer"
"_Pina_Bausch_","mujer"
"_Priscilla_Delgado_","mujer"
"_Rainer_Behr_","mujer"
"_Raquel_Aguilera_","mujer"
"_Raquel_Rey_","mujer"
"_Raquel_Sanchís_","mujer"
"_Regina_Advento_","mujer"
"_Rocío_Muñoz-Cobo_","mujer"
"_Rosa_Manaut_","mujer"
"_Rosa_Maria_Sardà_","mujer"
"_Rosalía_","mujer"
"_Rosario_Flores_","mujer"
"_Rossy_de_Palma_","mujer"
"_Roxy_Vaz_","mujer"
"_Ruth_Amarante_","mujer"
"_Ryo_Hiruma_","mujer"
"_Sandra_","mujer"
"_Sara_Jiménez_","mujer"
"_Sara_Montiel_","mujer"
"_Sara_Sierra_","mujer"
"_Sheyla_Fariña_","mujer"
"_Socorro_Siva_","mujer"
"_Sonia_Grande_","mujer"
"_Sonia_Hohmann_","mujer"
"_Susana_Miraño_","mujer"
"_Susi_Sánchez_","mujer"
"_Teresa_Ibáñez_","mujer"
"_Teresa_Manresa_","mujer"
"_Teresa_Tomás_","mujer"
"_Thelma_Ritter_","mujer"
"_Valeria_Vereau_","mujer"
"_Verónica_Forqué_","mujer"
"_Victoria_Torres_","mujer"
"_Violaine_Estérez_","mujer"
"_Violeta_Pérez_","mujer"
"_Virginia_Díez_","mujer"
"_Viviana_Espinoza_","mujer"
"_Warren_Beatty_","mujer"
"_Yohana_Cobo_","mujer"
"_Yolanda_Muñoz_","mujer"
"_Yolanda_Ramos_","mujer"
"_Yuyi_Beringola_","mujer"
"_Zulema_Katz_","mujer"